player1_name,player1_age,player1_ranking,player1_points,player1_win_rate,player1_win_rate_3_sets,player1_win_rate_tiebreak,player1_total_matches_dure,player1_win_rate_dure,player1_total_matches_terre battue,player1_win_rate_terre battue,player1_total_matches_gazon,player1_win_rate_gazon,player1_total_matches_salle,player1_win_rate_salle,player1_total_matches_carpet,player1_win_rate_carpet,player1_total_matches_acryl,player1_win_rate_acryl,player1_avg_first_serve_pct,player1_avg_first_serve_won_pct,player1_avg_second_serve_won_pct,player1_avg_return_points_won_pct,player1_avg_break_point_won_pct,player1_avg_double_fautes,player1_avg_aces
Fabio Fognini,37,91,637,0.5227272727272727,0.5909090909090909,0.5,8,0.375,26,0.5769230769230769,5,0.6,5,0.4,0,0,0,0,0.581428984668788,0.6975124378109453,0.4727021423635107,0.38031057720480516,0.44805194805194803,4.659090909090909,3.522727272727273
Federico Coria,32,100,617,0.5510204081632653,0.4166666666666667,0.6153846153846154,2,0.0,46,0.5869565217391305,1,0.0,0,0.0,0,0,0,0,0.6692139737991266,0.6141924959216966,0.48102310231023104,0.44441348565059907,0.463768115942029,2.4583333333333335,1.8958333333333333
Yoshihito Nishioka,29,69,776,0.5510204081632653,0.42105263157894735,0.7142857142857143,30,0.6,12,0.3333333333333333,7,0.7142857142857143,0,0.0,0,0,0,0,0.6343506882106523,0.6735849056603773,0.5613747954173486,0.36407620199576657,0.37542662116040953,1.2222222222222223,2.7111111111111112
Emil Ruusuvuori,25,95,628,0.5102040816326531,0.5238095238095238,0.75,17,0.5882352941176471,8,0.25,6,0.5,18,0.5555555555555556,0,0,0,0,0.6333668847508808,0.7004370282081843,0.5512732278045424,0.3665651953323186,0.36333333333333334,2.25,4.833333333333333
Dominik Koepfer,30,102,610,0.5510204081632653,0.6,0.4375,16,0.625,15,0.4,4,0.5,14,0.6428571428571429,0,0,0,0,0.6227511763077774,0.7017777777777777,0.529757531227039,0.3665146230211967,0.3662420382165605,3.0833333333333335,4.354166666666667
Nuno Borges,27,36,1355,0.5714285714285714,0.6818181818181818,0.6,23,0.6521739130434783,20,0.65,3,0.0,3,0.0,0,0,0,0,0.6107644305772231,0.7041294167730949,0.4983299933199733,0.39297365119196986,0.4044943820224719,3.0,4.8979591836734695
Camilo Ugo Carabelli,25,97,624,0.6170212765957447,0.6153846153846154,0.5,5,0.4,41,0.6585365853658537,1,0.0,0,0.0,0,0,0,0,0.6203534430225472,0.6547151277013753,0.4695024077046549,0.43541732783243414,0.48703170028818443,2.347826086956522,2.4782608695652173
James Duckworth,32,82,687,0.5714285714285714,0.47368421052631576,0.7619047619047619,26,0.6153846153846154,1,0.0,15,0.6666666666666666,7,0.2857142857142857,0,0,0,0,0.580042689434365,0.7589696412143514,0.5495552731893265,0.3431578947368421,0.3776824034334764,2.693877551020408,7.551020408163265
Alejandro Davidovich Fokina,25,61,845,0.46938775510204084,0.4782608695652174,0.391304347826087,28,0.5,8,0.375,1,0.0,12,0.5,0,0,0,0,0.6717262670439927,0.6801991574109536,0.5188087774294671,0.3733715476810839,0.4171974522292994,2.25,4.979166666666667
Jan-Lennard Struff,34,42,1240,0.5714285714285714,0.5,0.85,9,0.2222222222222222,21,0.7142857142857143,9,0.6666666666666666,10,0.5,0,0,0,0,0.5794369029663148,0.7778741865509762,0.511655708308428,0.3701762744163888,0.32941176470588235,4.361702127659575,9.382978723404255
Kei Nishikori,35,106,578,0.673469387755102,0.6666666666666666,0.6666666666666666,29,0.6896551724137931,9,0.5555555555555556,1,0.0,10,0.8,0,0,0,0,0.6507404302877899,0.6788321167883211,0.552,0.39988983751032775,0.4,1.8936170212765957,2.127659574468085
Botic Van De Zandschulp,29,80,712,0.5510204081632653,0.5,0.4166666666666667,9,0.5555555555555556,26,0.5769230769230769,3,0.3333333333333333,11,0.5454545454545454,0,0,0,0,0.6290322580645161,0.7061790668348046,0.4665718349928876,0.39820438341695275,0.40970350404312667,4.061224489795919,4.326530612244898
Timofey Skatov,23,191,299,0.6458333333333334,0.5789473684210527,0.9090909090909091,7,0.5714285714285714,38,0.6578947368421053,3,0.6666666666666666,0,0.0,0,0,0,0,0.571590909090909,0.6769383697813122,0.5006631299734748,0.42087636059168293,0.430939226519337,3.9574468085106385,2.5319148936170213
Felipe Meligeni Alves,26,149,389,0.6122448979591837,0.5882352941176471,0.7333333333333333,4,0.5,40,0.625,5,0.6,0,0.0,0,0,0,0,0.6778097982708934,0.6836734693877551,0.5259391771019678,0.363556078893141,0.4219858156028369,1.0625,4.208333333333333
Carlos Taberner,27,195,296,0.5918367346938775,0.45,0.5,1,0.0,47,0.6170212765957447,0,0.0,1,0.0,0,0,0,0,0.6788811188811189,0.6448290070045324,0.4895470383275261,0.44077134986225897,0.45774647887323944,2.3877551020408165,1.4081632653061225
Vit Kopriva,27,130,465,0.6041666666666666,0.6666666666666666,0.8,7,0.7142857142857143,37,0.5675675675675675,4,0.75,0,0.0,0,0,0,0,0.6252676659528907,0.6665239726027398,0.48714285714285716,0.4190860215053763,0.4894179894179894,3.875,2.9583333333333335
Gael Monfils,38,55,1005,0.5306122448979592,0.5172413793103449,0.8,27,0.5925925925925926,9,0.3333333333333333,7,0.7142857142857143,6,0.3333333333333333,0,0,0,0,0.6034179442070872,0.7376093294460642,0.5120405576679341,0.35614347494276266,0.39375,4.041666666666667,9.083333333333334
Pierre-Hugues Herbert,33,148,391,0.46808510638297873,0.6,0.5,5,0.4,19,0.42105263157894735,6,0.5,17,0.5294117647058824,0,0,0,0,0.5981723237597911,0.729375818419904,0.48862897985705,0.35619351408825095,0.4144486692015209,4.8936170212765955,9.659574468085106
Francesco Passaro,23,108,570,0.6530612244897959,0.625,0.7272727272727273,5,0.6,43,0.6744186046511628,1,0.0,0,0.0,0,0,0,0,0.6404614971827207,0.6962714704650188,0.5597014925373134,0.3833839359646702,0.4485981308411215,2.125,3.6458333333333335
Billy Harris,29,125,474,0.5510204081632653,0.6363636363636364,0.7142857142857143,21,0.42857142857142855,3,0.6666666666666666,20,0.7,5,0.4,0,0,0,0,0.6130790190735694,0.74,0.5077464788732394,0.3502202643171806,0.35271317829457366,2.877551020408163,6.612244897959184
Learner Tien,19,122,493,0.7755102040816326,0.68,0.7857142857142857,34,0.8235294117647058,0,0.0,0,0.0,15,0.6666666666666666,0,0,0,0,0.6379789006107718,0.6923411662315057,0.531441717791411,0.4133118625872249,0.4214659685863874,3.127659574468085,3.595744680851064
Adam Walton,25,93,636,0.5102040816326531,0.4117647058823529,0.6842105263157895,32,0.53125,1,0.0,9,0.4444444444444444,7,0.5714285714285714,0,0,0,0,0.6334200636021972,0.7476038338658147,0.5323343848580442,0.3554114994363021,0.37593984962406013,2.2244897959183674,6.428571428571429
Omar Jasika,27,178,323,0.7674418604651163,0.7272727272727273,0.5,35,0.9142857142857143,3,0.3333333333333333,5,0.0,0,0.0,0,0,0,0,0.7075435203094778,0.6708583925642427,0.5687830687830688,0.43564742589703587,0.4745098039215686,1.7179487179487178,2.1025641025641026
Gustavo Heide,22,172,332,0.6041666666666666,0.5789473684210527,1.0,2,0.5,45,0.6222222222222222,1,0.0,0,0.0,0,0,0,0,0.5758550131540485,0.6994923857868021,0.5513439007580979,0.3845496009122007,0.36156351791530944,2.8333333333333335,4.0
David Goffin,34,52,1037,0.6122448979591837,0.6,0.6666666666666666,21,0.7142857142857143,12,0.4166666666666667,10,0.7,6,0.5,0,0,0,0,0.5878932064499075,0.7180755395683454,0.4964720974983964,0.40238942552109813,0.39036144578313253,3.3469387755102042,5.040816326530612
Jack Draper,23,15,2685,0.6326530612244898,0.6071428571428571,0.6,18,0.6111111111111112,12,0.4166666666666667,10,0.8,9,0.7777777777777778,0,0,0,0,0.6008425487098473,0.7874671340929009,0.503957783641161,0.3734583127775037,0.3974358974358974,3.2653061224489797,8.714285714285714
Frances Tiafoe,26,18,2585,0.5510204081632653,0.5925925925925926,0.75,25,0.64,11,0.45454545454545453,6,0.5,7,0.42857142857142855,0,0,0,0,0.5807489087985297,0.7527689873417721,0.5413698630136986,0.35171187194308584,0.3373860182370821,2.4693877551020407,8.46938775510204
Francisco Cerundolo,26,30,1620,0.5510204081632653,0.45,0.875,7,0.2857142857142857,26,0.6538461538461539,3,0.0,13,0.6153846153846154,0,0,0,0,0.637431284357821,0.6911015288122305,0.5158839779005525,0.38525624842211564,0.4415954415954416,3.306122448979592,3.4489795918367347
Harold Mayot,22,116,518,0.5102040816326531,0.36363636363636365,0.4375,15,0.4666666666666667,7,0.2857142857142857,9,0.5555555555555556,18,0.6111111111111112,0,0,0,0,0.6328849028400598,0.6948512045347189,0.5228013029315961,0.36177994513867723,0.43724696356275305,2.5918367346938775,5.714285714285714
Borna Coric,28,90,639,0.46938775510204084,0.4230769230769231,0.5789473684210527,20,0.4,10,0.3,2,0.5,17,0.6470588235294118,0,0,0,0,0.6081767394616556,0.7265135699373695,0.5139338950097213,0.36040483831152803,0.35185185185185186,2.4081632653061225,6.775510204081633
Christopher Eubanks,28,107,572,0.5306122448979592,0.5,0.6521739130434783,19,0.631578947368421,7,0.0,9,0.4444444444444444,14,0.7142857142857143,0,0,0,0,0.6636432350718064,0.7433561123766135,0.5026217228464419,0.3317683881064163,0.3861788617886179,3.857142857142857,11.46938775510204
Arthur Cazaux,22,63,807,0.5102040816326531,0.4166666666666667,0.5882352941176471,34,0.5588235294117647,2,0.0,5,0.2,8,0.625,0,0,0,0,0.575019638648861,0.7586520947176685,0.514479359211337,0.359349593495935,0.4416961130742049,2.4693877551020407,8.83673469387755
Marcos Giron,31,46,1150,0.5102040816326531,0.36363636363636365,0.7142857142857143,15,0.4,11,0.2727272727272727,13,0.6923076923076923,10,0.7,0,0,0,0,0.6004156923876331,0.7282561661618348,0.5130039011703511,0.3570150779453105,0.3540983606557377,1.3265306122448979,5.163265306122449
Alexander Shevchenko,24,78,715,0.3541666666666667,0.38095238095238093,0.7857142857142857,17,0.35294117647058826,19,0.3684210526315789,4,0.25,8,0.375,0,0,0,0,0.5977107761027359,0.6837926202709015,0.4847222222222222,0.3591144335825187,0.40816326530612246,2.782608695652174,5.108695652173913
Maks Kasnikowski,21,180,318,0.5853658536585366,0.5333333333333333,0.75,6,0.5,34,0.6176470588235294,0,0.0,1,0.0,0,0,0,0,0.5808080808080808,0.6910144927536231,0.4843373493975904,0.41769205187894914,0.46078431372549017,2.475,3.05
Alexei Popyrin,25,24,1865,0.5714285714285714,0.5789473684210527,0.5,22,0.6818181818181818,12,0.3333333333333333,8,0.625,7,0.5714285714285714,0,0,0,0,0.6387195121951219,0.7442322991249005,0.5024630541871922,0.3441812028117678,0.3793103448275862,3.0416666666666665,9.081632653061224
Nishesh Basavareddy,19,138,440,0.7551020408163265,0.6428571428571429,1.25,27,0.8148148148148148,0,0.0,0,0.0,22,0.6818181818181818,0,0,0,0,0.5862811442633036,0.7245540398740818,0.5234200743494424,0.42289582107121837,0.422279792746114,3.2244897959183674,4.428571428571429
Alibek Kachmazov,22,194,296,0.5957446808510638,0.4666666666666667,0.6875,26,0.5769230769230769,12,0.5,0,0.0,9,0.7777777777777778,0,0,0,0,0.5581061692969871,0.722879177377892,0.5142857142857142,0.38098140810728437,0.462406015037594,3.0425531914893615,6.148936170212766
Juan Pablo Ficovich,27,187,308,0.5714285714285714,0.631578947368421,0.4166666666666667,6,0.5,40,0.625,1,0.0,2,0.0,0,0,0,0,0.5713035870516185,0.7100561510974988,0.4897959183673469,0.4063482985416071,0.44171779141104295,2.877551020408163,4.183673469387755
Jurij Rodionov,25,175,327,0.4418604651162791,0.375,0.4666666666666667,15,0.6,18,0.3333333333333333,3,0.0,7,0.5714285714285714,0,0,0,0,0.5869067103109656,0.7060791968767429,0.48019017432646594,0.3824561403508772,0.39097744360902253,2.6097560975609757,4.2682926829268295
Luca Van Assche,20,128,471,0.5,0.5,0.6666666666666666,11,0.45454545454545453,16,0.5,4,0.5,17,0.5294117647058824,0,0,0,0,0.6408013544018059,0.6785557023337737,0.47289866457187746,0.3929950358521787,0.3941176470588235,3.8333333333333335,3.125
Casper Ruud,26,6,4255,0.5918367346938775,0.6818181818181818,0.8571428571428571,10,0.5,25,0.76,2,0.5,12,0.3333333333333333,0,0,0,0,0.6582243250765377,0.7154334038054968,0.5374592833876222,0.3780387872166075,0.4074074074074074,2.3777777777777778,5.866666666666666
Jaume Antoni Munar Clar,27,62,832,0.5510204081632653,0.5238095238095238,0.4444444444444444,9,0.5555555555555556,33,0.6060606060606061,3,0.3333333333333333,4,0.25,0,0,0,0,0.6456364647026126,0.6909169177787344,0.49254901960784314,0.4028525296017223,0.3962765957446808,3.122448979591837,3.1020408163265305
Jannik Sinner,23,1,11830,0.9183673469387755,0.8571428571428571,1.0,26,0.9230769230769231,6,0.8333333333333334,10,0.9,7,1.0,0,0,0,0,0.6106310552500654,0.7920240137221269,0.5729657027572294,0.40727616347743917,0.402088772845953,2.0638297872340425,8.74468085106383
Lloyd Harris,27,132,457,0.6530612244897959,0.5333333333333333,0.6190476190476191,24,0.75,5,0.4,14,0.8571428571428571,6,0.0,0,0,0,0,0.6315486470926885,0.7711941659070192,0.5171875,0.37408568443051204,0.3970037453183521,1.9183673469387754,11.46938775510204
Gabriel Diallo,23,87,643,0.7346938775510204,0.7894736842105263,0.6956521739130435,34,0.7941176470588235,0,0.0,6,0.5,9,0.6666666666666666,0,0,0,0,0.6768824306472919,0.7408274785323966,0.5396565821749796,0.3724263747719573,0.3564356435643564,2.4693877551020407,9.53061224489796
Luca Nardi,21,92,637,0.5,0.43478260869565216,0.6923076923076923,20,0.4,13,0.6153846153846154,5,0.2,10,0.7,0,0,0,0,0.6385172798216276,0.6774334351811436,0.4780262143407864,0.37894144144144143,0.4267515923566879,3.2083333333333335,2.8125
Pavel Kotov,26,86,655,0.46938775510204084,0.5238095238095238,0.7333333333333333,21,0.47619047619047616,20,0.55,1,0.0,7,0.2857142857142857,0,0,0,0,0.6533333333333333,0.6998144712430426,0.4811188811188811,0.3499745287824758,0.40213523131672596,2.7142857142857144,4.183673469387755
Maximilian Marterer,29,184,313,0.425531914893617,0.4375,0.6,13,0.3076923076923077,23,0.4782608695652174,5,0.4,6,0.5,0,0,0,0,0.6126373626373627,0.6841056302939711,0.518957345971564,0.3575031525851198,0.41304347826086957,2.5681818181818183,5.260869565217392
Jaime Faria,21,123,489,0.5918367346938775,0.5714285714285714,0.6428571428571429,7,0.5714285714285714,38,0.6578947368421053,2,0.0,2,0.0,0,0,0,0,0.5633516961438098,0.7092125579001544,0.4860557768924303,0.3886213124623721,0.4434250764525994,4.595744680851064,5.659574468085107
Roman Safiullin,27,60,923,0.5510204081632653,0.38095238095238093,0.5714285714285714,23,0.6086956521739131,13,0.38461538461538464,5,0.4,8,0.75,0,0,0,0,0.6109163745618428,0.7364754098360655,0.5032175032175032,0.37329362124596677,0.38095238095238093,3.0816326530612246,6.918367346938775
Holger Rune,21,13,3025,0.6530612244897959,0.6538461538461539,0.625,18,0.6111111111111112,17,0.6470588235294118,5,0.6,9,0.7777777777777778,0,0,0,0,0.600815702268672,0.7335596096733136,0.5478927203065134,0.3482856406290281,0.40145985401459855,3.020408163265306,6.1020408163265305
Dusan Lajovic,34,81,710,0.42857142857142855,0.39285714285714285,0.46153846153846156,13,0.38461538461538464,24,0.5416666666666666,1,0.0,11,0.2727272727272727,0,0,0,0,0.7043434086868173,0.6790479624954923,0.5077319587628866,0.36259064766191546,0.3742690058479532,1.1458333333333333,2.9166666666666665
Jerome Kym,21,134,451,0.7346938775510204,0.5217391304347826,1.0,11,0.7272727272727273,29,0.7586206896551724,0,0.0,9,0.6666666666666666,0,0,0,0,0.6220081727962639,0.7531675269826372,0.5227799227799228,0.40487804878048783,0.4049079754601227,2.0833333333333335,7.645833333333333
Mattia Bellucci,23,103,605,0.6938775510204082,0.5882352941176471,0.8947368421052632,37,0.7297297297297297,0,0.0,6,0.5,6,0.6666666666666666,0,0,0,0,0.610752688172043,0.7293133802816901,0.5414364640883977,0.39012409513960705,0.3556701030927835,3.142857142857143,7.979591836734694
Thiago Seyboth Wild,24,74,732,0.5510204081632653,0.4375,0.625,14,0.6428571428571429,25,0.44,4,0.5,6,0.8333333333333334,0,0,0,0,0.6387665198237885,0.6995689655172413,0.5304878048780488,0.3592710442580272,0.4046692607003891,2.3877551020408165,5.224489795918367
Hubert Hurkacz,27,16,2640,0.6326530612244898,0.6296296296296297,0.7586206896551724,19,0.5263157894736842,18,0.7777777777777778,7,0.7142857142857143,5,0.4,0,0,0,0,0.6303785563131907,0.7720999627004849,0.5419847328244275,0.33775914279058933,0.3492063492063492,1.6734693877551021,12.816326530612244
Mitchell Krueger,30,147,396,0.5714285714285714,0.5333333333333333,0.6,32,0.625,10,0.6,2,0.5,5,0.2,0,0,0,0,0.6080023195129023,0.7081545064377682,0.5451183431952663,0.3877262443438914,0.4117647058823529,2.326530612244898,5.285714285714286
Terence Atmane,22,158,376,0.5306122448979592,0.4782608695652174,0.7368421052631579,31,0.5806451612903226,10,0.5,6,0.3333333333333333,2,0.5,0,0,0,0,0.590421355666056,0.7291666666666666,0.5226837060702876,0.3598514982763193,0.3686131386861314,4.224489795918367,7.081632653061225
Roman Andres Burruchaga,22,156,378,0.6041666666666666,0.5909090909090909,1.0,4,0.5,41,0.6097560975609756,3,0.6666666666666666,0,0.0,0,0,0,0,0.602880658436214,0.6606533398342272,0.4759437453737972,0.43354430379746833,0.4803370786516854,3.5,2.0208333333333335
Facundo Diaz Acosta,24,79,714,0.5102040816326531,0.5,0.6153846153846154,11,0.2727272727272727,34,0.6470588235294118,1,0.0,3,0.0,0,0,0,0,0.6437061048082118,0.6735207721359631,0.514783927217589,0.38572204125950055,0.38950276243093923,2.836734693877551,2.693877551020408
Lorenzo Musetti,22,17,2600,0.6938775510204082,0.8076923076923077,0.6875,13,0.6153846153846154,15,0.7333333333333333,15,0.8,6,0.5,0,0,0,0,0.6518624641833811,0.7106227106227107,0.5281207133058985,0.38320330426801286,0.3974025974025974,1.9795918367346939,4.122448979591836
Hugo Dellien,31,124,488,0.7142857142857143,0.4117647058823529,0.8888888888888888,1,0.0,46,0.7391304347826086,2,0.5,0,0.0,0,0,0,0,0.7071895424836602,0.7079482439926063,0.5424107142857143,0.4226675015654352,0.46808510638297873,1.574468085106383,2.4468085106382977
Karen Khachanov,28,19,2410,0.6122448979591837,0.5555555555555556,0.8125,19,0.47368421052631576,12,0.6666666666666666,4,0.25,14,0.8571428571428571,0,0,0,0,0.6452720549392499,0.7449856733524355,0.5227103499627699,0.3684210526315789,0.3829113924050633,1.7755102040816326,6.959183673469388
Adrian Mannarino,36,66,779,0.3541666666666667,0.46153846153846156,0.4666666666666667,24,0.3333333333333333,5,0.0,6,0.16666666666666666,13,0.6153846153846154,0,0,0,0,0.594896331738437,0.6724754244861484,0.5111548556430446,0.3415948275862069,0.3860294117647059,2.3191489361702127,4.446808510638298
